com.adjust.sdk.AdjustAttribution,hashCode
com.adjust.sdk.plugin.AdjustCriteo,injectViewListingIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectCartIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectTransactionConfirmedIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectUserLevelIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectUserStatusIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectAchievementUnlockedIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectCustomEventIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectHashedEmailIntoCriteoEvents
com.adjust.sdk.plugin.AdjustCriteo,injectViewSearchDatesIntoCriteoEvents
com.adjust.sdk.plugin.AdjustCriteo,injectPartnerIdIntoCriteoEvents
com.adjust.sdk.plugin.AdjustCriteo,injectDeeplinkIntoEvent
com.adjust.sdk.plugin.AdjustCriteo,injectCustomerIdIntoCriteoEvents
com.adjust.sdk.plugin.AdjustCriteo,injectUserSegmentIntoCriteoEvents
com.adjust.sdk.Adjust,isEnabled
com.adjust.sdk.Adjust,trackEvent
com.adjust.sdk.Adjust,getAttribution
com.adjust.sdk.Adjust,getGoogleAdId
com.adjust.sdk.Adjust,getAmazonAdId
com.adjust.sdk.Adjust,getAdid
com.adjust.sdk.Adjust,gdprForgetMe
com.adjust.sdk.Adjust,disableThirdPartySharing
com.adjust.sdk.AdjustEvent,setRevenue
com.adjust.sdk.AdjustEvent,addCallbackParameter
com.adjust.sdk.AdjustEvent,addPartnerParameter
com.adjust.sdk.AdjustEvent,setCallbackId
com.adjust.sdk.plugin.AdjustImei,readImei
com.adjust.sdk.plugin.AdjustSociomantic,injectPartnerIdInSociomanticEvents
com.adjust.sdk.plugin.AdjustSociomantic,injectViewListingIntoEvent
com.adjust.sdk.plugin.AdjustSociomantic,injectProductIntoEvent
com.adjust.sdk.plugin.AdjustSociomantic,injectCartIntoEvent
com.adjust.sdk.plugin.AdjustSociomantic,injectTransactionIntoEvent
com.adjust.sdk.plugin.AdjustSociomantic,injectConfirmedTransactionIntoEvent
com.adjust.sdk.plugin.AdjustSociomantic,injectLeadIntoEvent
com.adjust.sdk.plugin.AdjustTrademob,injectViewListingIntoEvent
com.adjust.sdk.plugin.AdjustTrademob,injectViewItemIntoEvent
com.adjust.sdk.plugin.AdjustTrademob,injectAddToBasketIntoEvent
com.adjust.sdk.plugin.AdjustTrademob,injectCheckoutIntoEvent
