io.branch.referral.Installistener,onReceive
io.branch.referral.Branch,getInstance
io.branch.referral.Branch,sendCommerceEvent
io.branch.referral.Branch,userCompletedAction
io.branch.referral.Branch,logout
io.branch.referral.Branch,loadRewards
io.branch.referral.Branch,redeemRewards
io.branch.referral.Branch,getCreditHistory
io.branch.referral.Branch,disableTracking
io.branch.indexing.BranchUniversalObject,setCanonicalIdentifier
io.branch.indexing.BranchUniversalObject,setCanonicalUrl
io.branch.indexing.BranchUniversalObject,setTitle
io.branch.indexing.BranchUniversalObject,setContentDescription
io.branch.indexing.BranchUniversalObject,setContentImageUrl
io.branch.indexing.BranchUniversalObject,setContentIndexingMode
io.branch.indexing.BranchUniversalObject,setContentMetadata
io.branch.indexing.BranchUniversalObject,generateShortUrl
io.branch.indexing.BranchUniversalObject,listOnGoogleSearch
io.branch.indexing.BranchUniversalObject,showShareSheet
io.branch.referral.util.BranchEvent,setAffiliation
io.branch.referral.util.BranchEvent,setCoupon
io.branch.referral.util.BranchEvent,setCurrency
io.branch.referral.util.BranchEvent,setTax
io.branch.referral.util.BranchEvent,setRevenue
io.branch.referral.util.BranchEvent,setDescription
io.branch.referral.util.BranchEvent,setSearchQuery
io.branch.referral.util.BranchEvent,addCustomDataProperty
io.branch.referral.util.BranchEvent,addContentItems
io.branch.referral.util.BranchEvent,logEvent
io.branch.referral.util.LinkProperties,setChannel
io.branch.referral.util.LinkProperties,setFeature
io.branch.referral.util.LinkProperties,addControlParameter
io.branch.referral.util.ShareSheetStyle,setCopyUrlStyle
io.branch.referral.util.ShareSheetStyle,setMoreOptionStyle
io.branch.referral.util.ShareSheetStyle,addPreferredSharingOption
io.branch.referral.util.ShareSheetStyle,addPreferredSharingOption
io.branch.referral.util.ShareSheetStyle,setAsFullWidthStyle
io.branch.referral.util.ShareSheetStyle,setSharingTitle
io.branch.referral.util.CommerceEvent,setRevenue
io.branch.referral.util.CommerceEvent,setCurrencyType
io.branch.referral.util.CommerceEvent,addProduct
io.branch.referral.util.LinkProperties,addTag
io.branch.referral.util.LinkProperties,setFeature
io.branch.referral.util.LinkProperties,setStage
io.branch.referral.util.LinkProperties,addControlParameter
io.branch.referral.util.Product,setSku
io.branch.referral.util.Product,setPrice
io.branch.referral.util.Product,setQuantity
io.branch.referral.util.Product,setVariant
io.branch.referral.util.Product,setBrand
io.branch.referral.util.Product,setCategory
io.branch.referral.util.Product,setName
